objectid,filename,title,creator,date,description,subject,audience,source,format,size,language,rights,rightsstatement
makeup001,makeup001.jpg,"Try Maybelline Eye Shadow, c. 1920s.","Halloween
HJB",1920,"This 1920s (date unverified) image of a cosmetics advertisement features Maybelline products including eye shadow, mascara, and an eyebrow pencil. Advice is given on recommended makeup based on eye color.",Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Antique fashions; Fashion--History; Jazz Age; Roaring twenties; 1920s; 20s (Twentieth century decade); Twenties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/97160809-baf0-4c96-a91f-620f34fa968e?q=1920s+makeup&p=9,image/jpeg,732 x 1024 pixels,eng,CC BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/
makeup002,makeup002.jpg,1935 CUTEX Lips and Tips,1950sUnlimited,1935,This 1935 (date unverified) image of a cosmetics advertisement features Cutex products designed as matching lipstick and nail polish options along with options for a kit and nail care supplies. Emphasis is placed on perfect color coordination being a fashion essential.,"Cosmetics; Makeup; Nails (Anatomy); Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Fashion--History; Great Depression, 1929; 1930s; 30s (Twentieth century decade); Thirties (Twentieth century decade); 1900s (Century); 20th century","Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/a8941ef7-b950-488c-8f80-d7bb9cfb30c0?q=vintage+makeup&p=38,image/jpeg,600 × 748 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
makeup003,makeup003.jpg,1940 Revlon Cheek Stick,1950sUnlimited,1940,"This vintage cosmetics advertisement features Revlon products including a cream blush/cheek stick, lipstick, and nail polish. Emphasis is placed on harmony between the various products shown. The ad appears to be from 1940, but the year on the photograph is slightly blurred making it difficult to have certainty about the precise date.",Cosmetics; Makeup; Nails (Anatomy); Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Fashion--History; 1940s; 40s (Twentieth century decade); Forties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/ac5cb891-e7e3-4109-875f-9c2d5f9cb904?q=vintage+makeup&p=74,image/jpeg,422 × 1024 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
makeup004,makeup004.jpg,"Ad, Make-up - Coty, Air-Spun Make-up - Life Magazine 1940-05-20",kocojim,1940,"This 1940 vintage advertisement for Coty ""Air-Spun"" Makeup features a face powder with a matching lipstick and blush. The silky texture and harmony between products is mentioned.",Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Fashion--History; 1940s; 40s (Twentieth century decade); Forties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/b7368d71-0690-405c-92b3-468ea1a1d785?q=1940s+makeup&p=66,image/jpeg,600 × 842 pixels,eng,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/
makeup005,makeup005.jpg,1948 advertisement for Yardley makeup,Matthew Paul Argall - Old Ads,1948,This 1940s advertisement for various Yardley beauty and skincare products place value on a natural beauty aesthetic.,Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Fashion--History; 1940s; 40s (Twentieth century decade); Forties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/e6641c50-572f-4f02-81c7-74f66f22636c?q=1940s+makeup&p=33,image/jpeg,600 × 806 pixels,eng,PDM 1.0,https://creativecommons.org/publicdomain/mark/1.0/
makeup006,makeup006.jpg,Revlon's 'Plumb Beautiful!' color - 1949,Nesster,1949,This 1949 Revlon advertisement features a bold red color for matching nail polish and lipstick.,Cosmetics; Makeup; Nails (Anatomy); Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Fashion--History; 1940s; 40s (Twentieth century decade); Forties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/cae1b44b-f3b7-4374-a2b8-84bb9202e314?q=vintage+makeup&p=22,image/jpeg,600 × 798 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
makeup007,makeup007.jpg,1952 Hazel Bishop Lipstick,1950sUnlimited,1952,This 1952 (date unverified) vintage makeup ad features Hazel-Bishop No-Smear Lipstick which is said to last all day.,Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Advertising; Marketing; Fashion--History; 1950s; 50s (Twentieth century decade); Fifties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/5b3b8810-e152-4bef-a1ac-672d8e6fe237?q=vintage+makeup&p=72,image/jpeg,936 × 989 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
makeup008,makeup008.jpg,Revlon 1963,1950sUnlimited,1960,"This 1960 (date shown on image varies from original image title) cosmetic advertisement is for Revlon eye products. They feature a large range of colors and suggest a very colorful, bold look is in style.",Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Advertising; Marketing; Fashion--History; 1960s; 60s (Twentieth century decade); Sixties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/16336591-1a6a-4a29-bfb1-96c6b3af72b5?q=vintage+lipstick&p=65,image/jpeg,1024 × 719 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
makeup009,makeup009.jpg,Angel Face - 1961,rchappo2002,1961,This 1961 (date unverified) cosmetics advertisement for Pond's Angel Face foundation advertises the ability to change one's skin color with makeup so that any outfit color can look flattering.,Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Fashion--History; 1960s; 60s (Twentieth century decade); Sixties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/cfbda7c6-361a-431b-a83e-ac163898d73c?q=vintage+makeup+ad&p=19,image/jpeg,600 × 771 pixels,eng,CC BY-NC-ND 2.0,https://creativecommons.org/licenses/by-nc-nd/2.0/
makeup010,makeup010.jpg,Revlon - 1963,rchappo2002,1963,This 1963 Revlon advertisement is for medicated complexion products that provide coverage while working to heal the skin.,Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Fashion--History; 1960s; 60s (Twentieth century decade); Sixties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/2ea8558d-a613-42a4-b53f-cdb94a5e6bce?q=vintage+makeup&p=99,image/jpeg,777 × 1024 pixels,eng,CC BY-NC-ND 2.0,https://creativecommons.org/licenses/by-nc-nd/2.0/
makeup011,makeup011.jpg,1965MaxFactor,1950sUnlimited,1965,This vintage image of a 1965 cosmetics advertisement features Max Factor. The ad emphasizes a wide range of color options and highlights the finish and texture of the lipstick.,Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Fashion--History; 1960s; 60s (Twentieth century decade); Sixties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/c5a286cd-29b1-429d-af49-33cfb7d7863e?q=1950s+makeup&p=58,image/jpeg,793 × 1000 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
makeup012,makeup012.jpg,1970's Fresh Lash Mascara,twitchery,1970,This 1970s (date unverified) vintage cosmetics ad is for Maybelline Fresh Lash Mascara. It is advertised to last for 24 hours day and night.,Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Advertising; Marketing; Fashion--History; 1970s; 70s (Twentieth century decade); Seventies (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/a4628b89-bb84-498a-afee-24d62caab0cb?q=vintage+makeup+ad&p=8,image/jpeg,600 × 829 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
makeup013,makeup013.jpg,1970's Cream Eye Shadow,twitchery,1978,This 1978 vintage Maybelline ad is for a cream eyeshadow that is said to last 10 hours through a variety of activities.,Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Advertising; Marketing; Fashion--History; 1970s; 70s (Twentieth century decade); Seventies (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/e8f6ef1b-5757-40a2-9b6e-f74884b0b00c?q=makeup+ad&p=2,image/jpeg,726 × 1024 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
makeup014,makeup014.jpg,Vintage 80's Dial-a-Lash Mascara,twitchery,1981,This 1981 advertisement for Maybelline Dial-a-Lash Mascara touts its customizability allowing users to create various kinds of makeup looks.,Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Advertising; Marketing; Fashion--History; 1980s; 80s (Twentieth century decade); Eighties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/4e52bd74-95c9-4387-b6ce-f7b2eb8e879f?q=makeup+ad&p=3,image/jpeg,736 × 1024 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
makeup015,makeup015.jpg,Vintage 80's Maybelline Blush,twitchery,1983,This 1983 cosmetics advertisement features a Maybelline blush that is said to have a natural look that comes with both a matte and shimmer blush.,Cosmetics; Makeup; Fashions; Beauty; Beauty culture; Complexion; Advertising; Marketing; Fashion--History; 1980s; 80s (Twentieth century decade); Eighties (Twentieth century decade); 1900s (Century); 20th century,"Fashion History Students, Historians, Cosmetology Students",https://openverse.org/image/a8143193-bdab-4ac9-a8b0-a2ca0e13736b?q=makeup+ad&p=4,image/jpeg,735 × 1024 pixels,eng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/